;artist_name_lastfm;tra_id;title_lastfm;genre;track_id;artist_name;title;loudness;tempo;time_signature;key;mode;duration;avg_timbre1;avg_timbre2;avg_timbre3;avg_timbre4;avg_timbre5;avg_timbre6;avg_timbre7;avg_timbre8;avg_timbre9;avg_timbre10;avg_timbre11;avg_timbre12;var_timbre1;var_timbre2;var_timbre3;var_timbre4;var_timbre5;var_timbre6;var_timbre7;var_timbre8;var_timbre9;var_timbre10;var_timbre11;var_timbre12
0;Abigail Washburn;238d51be-5828-420a-849e-e54aff4a5ae7;Sometimes;folk;TRIRMPK12903CF6F93;Abigail Washburn;Sometimes;-6.937;111.51;1;2;1;171.36281;45.12433281;-0.45773626373599996;29.1058744113;3.5124709576099997;-3.17056985871;-1.67248037677;1.77704395604;4.12863265306;-8.032313971739999;-2.19991993721;0.271089481947;4.94776452119;49.9172390949;1101.5657396;666.118017786;728.2871755739999;465.02983404699995;654.257657911;351.989147703;254.61175572099998;241.334072008;200.432007882;157.32980729;205.69992379099997
1;Abigail Washburn;6f878f9c-d46e-47c0-8ed5-621e479aee67;Red & Blazing;folk;TRASYLO12903CF6F9A;Abigail Washburn;Red & Blazing;-12.665999999999999;117.243;1;9;1;250.67057000000003;36.711986986999996;-9.0982022022;23.078991992;1.17259059059;22.7289399399;-14.955484484500001;-11.9609029029;3.7715275275300004;-10.7036686687;-3.89098998999;4.517865865869999;12.3147437437;88.6778466215;1427.97308681;1255.02770596;1128.48088273;1032.767415;560.339288504;730.951533575;287.235597709;447.818565375;214.382203321;277.242374657;560.2457734559999
2;Abigail Washburn;81beec63-eb38-4397-a09d-28ce575f3c50;Single Drop Of Honey;folk;TRACBTI12903CF6F9E;Abigail Washburn;Single Drop Of Honey;-17.884;40.815;1;9;1;163.73506;28.1335608108;39.5059155405;14.2243445946;-46.8666993243;55.5764324324;17.4872804054;-37.7148040541;2.64225337838;-7.95561148649;9.8309527027;-15.5329290541;13.0271114865;121.490027767;5888.10385695;4606.64374616;9308.67714218;2008.47001552;2090.4275894;2184.09725615;1301.97415397;514.824957819;916.200846119;1554.43147882;647.123506809
3;Aborted;04f125fa-a6c6-46c1-9237-45ba99b231d6;A Cold Logistic Slaughter;metal;TRRCTWT128F42421DA;Aborted;A Cold Logistic Slaughter;-6.45;126.37200000000001;1;9;1;132.30975;49.0398316583;63.6113819095;10.1522060302;-7.33129145729;-27.146824120599998;-27.4095904523;-1.87442713568;6.89705527638;9.66598492462;12.3171733668;-0.737570351759;9.15844221106;39.3223086023;921.164143578;636.624601189;1829.88174543;560.364525472;748.960503262;263.815566576;308.850406384;251.73593412;218.323933143;240.35366414;117.87778147799999
4;Aborted;1225dfae-a116-46b9-ac9e-5ad5bb2ef9f6;The Chondrin Enigma;metal;TRTQSAJ12903CF41B9;Aborted;The Chondrin Enigma;-5.652;108.055;4;3;0;259.73506000000003;48.967769426800004;51.502033121000004;2.6066789808900004;-14.3880789809;-49.8620828025;-25.9620802548;10.8707936306;7.20212993631;4.28994012739;8.38817579618;-1.9461898089200003;4.17313757962;77.2977940067;1906.40627305;1595.48327157;496.593449449;316.73183723299996;331.30534396400003;205.52539296400002;301.011338021;245.60241652;146.633740728;133.830178332;103.826497984
5;Aborted;3fce030e-3589-496f-a279-8491b010fa88;Underneath Rorulent Soil;metal;TRVBKIB12903CF41C3;Aborted;Underneath Rorulent Soil;-6.075;120.352;4;3;0;290.66404;48.318452648500006;50.154202247200004;23.8341155698;-12.9331685393;-54.4360609952;-21.7812102729;5.737191011240001;4.41880577849;-4.63175922953;6.4182857142900005;-2.16661476726;3.13291492777;89.9166255351;2263.67538383;648.7812893930001;265.432944602;493.502503373;228.434942307;321.490990761;177.136524709;533.9883622919999;158.77273441;116.91136138600001;366.840763195
6;Aborted;4cd3b9d5-6a49-469f-afa8-b89e89ee6a74;Hecatomb;metal;TRTSDLD128F42421AF;Aborted;Hecatomb;-6.303999999999999;125.213;1;2;1;169.32526000000001;49.6388461538;64.50517671520001;15.7626923077;-10.1037255717;-38.7375571726;-19.3866964657;3.51434719335;4.13834719335;7.2593014553;12.657993763;-2.2724948024900002;9.786927234930001;13.9022758516;886.508704;487.41512497;834.8541371719999;472.462583631;529.836649205;229.980153528;232.798782518;289.479488768;189.001360385;208.129046516;101.86382419200001
7;Aborted;59356807-86ba-4d19-a1dc-582567cdd7b5;The Gangrenous Epitaph;metal;TRSFHFO128F42421B9;Aborted;The Gangrenous Epitaph;-4.98;120.046;4;7;1;204.48608000000002;51.7384761905;68.71229220779999;21.1810800866;-10.5019112554;-29.6462294372;-25.1373268398;7.144714285710001;4.161110389609999;12.863478355;11.5775930736;-3.7048398268400002;8.35602380952;10.664508595800001;636.286847103;359.106377978;974.1795735610001;288.839428532;450.5994659;254.62374939900002;233.962650722;281.92124389;169.962321094;133.21319998299998;136.040543192
8;Aborted;6e24127c-7006-4aa9-897d-64f551c0e0f5;A Methodical Overture;metal;TREGXTN12903CF41BA;Aborted;A Methodical Overture;-5.008;110.12;4;6;1;204.19873;51.586782006899995;61.6472231834;10.696653979199999;-11.411354671300002;-48.081873702399996;-26.4724134948;13.6304948097;8.29443944637;0.0290121107266;9.13047404844;-1.9406401384099998;5.47323356401;4.6599614230699995;389.96036966099996;309.652944375;734.0243107719999;353.14207928699994;366.783369461;214.16404559900002;238.896722741;193.253469268;152.204370595;103.28587442799999;97.45611713059999
9;Aborted;8c111c81-da6a-47a2-b9d1-7f26a1638ec5;The Inertia;metal;TRIEPGG128F42421C8;Aborted;The Inertia;-5.865;158.52100000000002;3;0;0;214.77832;50.78386312399999;73.88198228659999;15.497982286600001;-9.83128341385;-32.849136875999996;-22.7308067633;-0.00908051529791;4.47514814815;8.281916264089999;11.0573832528;-1.5171642512099999;4.354616747180001;6.90638985727;741.798800787;419.16944789800004;449.942215965;286.20947712599997;285.10557024599996;221.617483485;237.547477447;233.426137101;136.197733328;148.085369216;130.881752252
